names,location,max mag,min mag,period
V0585 Cen *,120307.2-403922 ,12.8,13.4,0.61426
AC    Hyi *,004753.6-751611 ,14.9,16,0.6143
AY    Boo  ,135312.8+171245 ,13.6,15,0.614345
V2666 Oph *,180933.9+035936 ,6.11,-0.02,0.61439
V0425 Ara  ,165900.3-573737 ,15,15.9,0.6144
V0513 Vir  ,135701.3-020523 ,15.7,16.3,0.614418
V2410 Sgr  ,191607.3-274605 ,13.5,14.3,0.61450731
GN    TrA *,154859.2-664429 ,11.7,12.1,0.614605
DI    Hya  ,090651.3-123137 ,11,12,0.6147132
V0350 Cam  ,042732.9+594904 ,13.9,14.5,0.6149
EP    Tuc *,223426.7-563525 ,13,13.5,0.61499
V2602 Cyg  ,211313.0+422536 ,16.9,17.37,0.61501
V1072 Cyg  ,212240.2+465356 ,16.2,17.6,     0.615012    :  
LM    Eri  ,034307.0-192624 ,12.9,14.2,0.61507
AM    Vir  ,132333.3-163958 ,11.07,11.8,0.61508784
KK    Leo  ,110838.3-000514 ,14.8,15.4,0.615099
V0508 Ara  ,171607.4-555507 ,14.8,15.8,0.6151
LZ    Tel  ,182534.2-454413 ,12.9,13.8,0.615118
BW    Ara  ,164905.2-591150 ,14.9,16.3,0.615194
V0385 Cam *,051947.1+773614 ,13.65,14.2,0.61525
V1186 Cas  ,232702.4+521447 ,12.8,13.1,0.615257
V0382 CrA  ,182021.9-391006 ,13.9,15.1,0.6152571
V0357 CrA  ,181410.4-400118 ,15.5,16.6,0.61527
V1143 Oph  ,165731.9-214105 ,17.2,18.8,0.61531
V1331 Oph  ,170516.0-223808 ,17.5,19.1,0.61538
EG    Gru  ,214619.4-425049 ,12.35,13.5,0.61542
V0853 Cep  ,213317.1+701856 ,13.7,14.2,0.61543
FF    Del  ,202700.5+191225 ,12.6,14.3,0.6154325
MQ    Lib  ,145254.8-012048 ,19,19.6,0.615454
IX    Tel  ,202550.6-524151 ,12.9,14.2,0.61553
UV    Com *,125934.0+301925 ,15.1,16.1,0.615548
IM    Boo  ,140905.6+474928 ,13,14,0.615767
DQ    CMi  ,072038.5+064055 ,11.7,12.4,0.61583
V1603 Oph  ,171247.7-195706 ,17.2,18.6,0.61588
V1304 Cen  ,135856.8-405350 ,12.2,13.5,0.615901
VX    Ind  ,204151.4-470643 ,11.8,13.2,0.615986
V3131 Sgr  ,182145.2-350525 ,15.8,17,0.61602
V0497 Peg  ,220339.8+035707 ,13.66,14.68,0.616159
V1249 Oph  ,170209.4-175340 ,16.4,17.8,0.61625
NZ    Lyr *,192346.5+334006 ,13.7,14.8,0.61626908
HT    Tel  ,200017.2-451853 ,12.9,14.1,0.61658
V3667 Sgr  ,183715.2-310234 ,15.4,16.9,0.61661
CX    Lyr *,185117.3+284748 ,12.14,13.17,0.61664495
KW    Pav  ,210112.2-725418 ,15.1,16,0.6167
V1201 Sgr  ,183746.2-281531 ,13.8,14.9,0.6167053
V0384 Lup  ,154344.7-304730 ,13.3,13.9,0.616758
V0991 Oph  ,162525.0-115648 ,15.2,16.2,0.616886
AT    And *,234230.8+430052 ,10.42,10.92,0.6169122
V0481 Vul  ,194310.5+231725 ,13.42,-0.05,     0.61698     :  
V0816 Per  ,024154.7+423530 ,20.73,-0.08,0.617
BK    CrA  ,191133.8-412151 ,12.9,14.3,0.6170315
V0695 Sgr  ,181529.2-360538 ,14.5,16.3,0.617098
KX    Boo  ,143100.9+202532 ,13.71,14.48,0.61712
V0407 Vir  ,123949.5-000006 ,16.5,17.5,0.617153
V2789 Oph  ,180943.4+102548 ,17.1,<18.0      ,0.61722
V0514 Cen  ,142002.0-402806 ,15,16.2,0.61724
V0450 Ser  ,153306.7+112456 ,13,14.1,0.61724
AC    Crt  ,105921.8-122840 ,9.7,10.2,0.61726
V5563 Sgr  ,180434.2-242201 ,9.6,9.93,0.617262
V1072 Sgr *,190513.2-155947 ,14.7,15.6,0.6172867
LV    Eri  ,042940.4-003810 ,15.5,16.1,0.617287
V0851 Ara *,170735.2-464047 ,6.93,6.98,0.617372
V0522 Vir  ,140720.9-013116 ,18.7,19.3,0.617416
V0661 Lyr  ,183544.6+300815 ,11.06,( 0.12   *),0.6175
AS    Cnc  ,082542.1+254308 ,11.9,13,0.61752
V3509 Sgr  ,183212.4-353605 ,15,16.2,0.61755
V1099 Sgr  ,191125.9-221546 ,13.9,15.5,0.6176183
V1308 Cyg  ,200803.0+413231 ,15.8,17.2,0.6176334
V0651 Aur  ,071647.7+431817 ,12.86,13.29,0.61773
V0407 Per  ,030608.7+391354 ,15.5,16.2,0.617813
W     For *,024143.9-260151 ,12.9,13.7,0.6179073
V1571 Oph *,171203.7-182822 ,16.9,17.9,0.61791
V0544 Hya  ,103321.0-202716 ,12.7,14,0.61794
VW    Nor  ,163134.0-583414 ,12.3,13.4,0.618025
UZ    Leo *,104033.2+133401 ,9.58,10.15,0.6180428
V1838 Ori  ,045637.5-001819 ,15.6,16,0.618174
V0531 Hya  ,093310.4-000613 ,16.5,17.6,0.618338
DS    CVn  ,124716.3+351206 ,14.18,15.15,0.618432
V0506 Vir  ,135234.7-011514 ,18.8,19.7,0.61852
AI    Aqr  ,220701.9-204232 ,12.8,13.9,0.618536
V0538 Sco  ,174632.0-445541 ,14.1,15,0.61862
HT    Sco  ,165744.9-312155 ,14.3,15.7,0.6187
V1177 Oph  ,165932.1-201934 ,15.7,17.1,0.6187
SU    Cha  ,105014.9-782453 ,14.4,15.8,0.618757
V0364 Her  ,170403.7+205001 ,14.9,16.2,0.6188075
V0878 Sgr  ,191552.3-284825 ,14.7,15.5,0.6189279
V0336 UMa  ,095748.8+604428 ,12.92,13.72,0.61895
V0397 Ara  ,165237.0-582140 ,14.5,15.7,0.619
CL    UMa  ,122625.6+523326 ,15.4,16.3,0.6190514
V0722 Oph *,163221.8-013510 ,14.3,15.7,0.6190741
V0386 Lup *,154518.2-322206 ,10.9,11.4,0.619112
V0715 Sgr  ,181742.2-344837 ,14,15,0.6191479
V0382 Sgr  ,185106.7-352444 ,14.7,15.5,0.6192245
V0449 Ser  ,153209.9-012033 ,17.4,18,0.619253
V0357 Dra  ,165557.2+681200 ,11.55,12.15,0.619276
HQ    Boo *,134952.2+122229 ,14.35,15.05,0.6193
NQ    And *,001132.7+305141 ,16.16,17.1,0.61933
V2950 Sgr  ,181824.8-363713 ,14.9,16.4,0.61935
BI    CrA  ,185913.5-400823 ,13.3,14.3,0.6193972
V0542 Her  ,163012.4+190048 ,14.5,16,0.619405
V1013 Oph  ,175758.6+053437 ,14.2,15.6,0.6194444
AI    Eri  ,042255.3-161641 ,14.7,15.8,0.6195
GR    Sco  ,164816.9-285956 ,15.6,16.5,0.6196
RX    Hyi  ,013156.8-791942 ,14.1,15.5,0.61966
V0489 Cam *,074843.7+762809 ,10.94,11.22,0.619753
V0575 Vir  ,143443.6-011309 ,18.7,19.6,0.619775
V3581 Sgr  ,183432.2-323520 ,16.5,17.3,0.61979
V3703 Sgr  ,183858.6-324515 ,15.1,16.5,0.61994
V2685 Oph  ,163111.9-012514 ,17.4,18.1,0.619967
CL    Leo  ,115517.1+220004 ,16.6,17.5,0.619982
V0465 Cen  ,124744.8-341022 ,14.5,15.3,0.62
BT    Hya  ,123335.1-324736 ,14.5,15.5,0.62
V1520 Sco *,175058.6-370219 ,16.29,16.75,0.62
V0694 Oph  ,162247.5-004938 ,13.6,14.7,0.62
V1063 Cas *,010447.3+760614 ,11.6,12.3,0.62
CQ    Lac  ,222110.4+394313 ,11.5,13,0.62004
V0904 Aql  ,201009.7-000309 ,14.4,15.2,0.620067
V0478 Ser  ,155046.2-011935 ,14.8,15.4,0.620119
V0349 Her  ,162809.3+442143 ,14.1,14.6,0.62017
V0479 Sgr  ,190201.5-345513 ,13.9,14.8,0.6202621
YY    Phe  ,014054.2-473219 ,13.9,15.1,0.6203
BQ    Boo  ,133920.3+181205 ,13.7,15.4,0.62031
V1576 Sgr *,181230.7-333500 ,15.2,16.6,0.6205879
V0783 Cyg *,195252.7+404735 ,14.2,15.5,0.6206994
AS    UMa  ,111642.6+440703 ,14.7,15.4,0.620702
CS    Lyr  ,184545.4+301550 ,14,15.1,0.62073
V2591 Oph  ,170007.8+064123 ,13.6,15.2,0.620732
FF    Com  ,131846.9+223109 ,16,16.8,0.62075
GV    Cet  ,011825.3-172456 ,12.8, 14.0  :   ,0.62088
LL    Aps  ,173708.6-741739 ,14.4,15.5,0.6209
LN    Nor  ,163325.0-565513 ,15,<16.0      ,0.6209
V0818 Per  ,024155.8+423333 ,20.26,-0.08,0.621
V0493 Peg  ,220304.0+164419 ,12.8,13.79,0.621103
V0554 CrA  ,182018.2-433250 ,14.8,15.5,0.6211548
V1212 Her  ,164328.8+452334 ,13.1,14.1,0.62118
V0737 Her *,172826.2+394954 ,14.3,16.3,0.6212385
V0877 Sgr  ,191541.2-254727 ,14.6,15.5,0.6212388
V0378 Sgr  ,184849.1-331000 ,14.6,15.2,0.6212519
DG    Vir  ,123959.6+113037 ,14.7,16,0.62126
AE    Eri  ,041901.3-151443 ,14.5,15.2,0.6214
V1117 Sgr  ,191447.7-142148 ,14.8,15.7,0.6215678
V1366 Cen  ,145744.9-302639 ,12.37,13.36,0.62168
V2691 Oph  ,163919.9-020808 ,16,16.8,0.621789
DK    Sge *,201352.5+212503 ,12.2,13.2,0.6218188
SS    Oct  ,215335.4-824644 ,10.8,12.1,0.621825
V2614 Sgr  ,184458.7-312013 ,14.6,15.6,0.621835
FQ    Lib  ,160005.7-092728 ,14.3,15.7,0.6221
AE    Pav  ,180841.3-572236 ,13.8,15,0.62211
V0610 Peg  ,234550.8+155918 ,13.37,14.31,0.6221242
DF    Boo  ,145511.2+280232 ,14.49,15.04,0.622135
CW    Aps  ,170109.9-755651 ,13.3,14.6,0.6222
V0352 Dra  ,162559.2+651413 ,14.05,15.06,0.6222
V0377 Vir  ,120919.8-011047 ,18,18.8,0.6222
DO    Nor *,161811.1-573452 ,14,15.3,0.622248
ST    Boo *,153039.2+354704 ,10.28,11.54,0.622286
AN    Crt  ,114106.8-103707 ,12.1,13.1,0.622335
DY    Aps  ,173027.9-773321 ,13.8,14.8,0.6224
MQ    Com  ,130929.7+270059 ,14.01,14.36,0.622422
HL    Aur *,061913.0+494207 ,10.8,11.69,0.6225051
PZ    Boo *,153007.9+431500 ,12.9,13.4,0.62265
EY    TrA  ,162236.0-605144 ,15.6,<16.3      ,0.6227
V2546 Cyg  ,202804.9+311710 ,11.37,11.93,0.62279
V0376 Mon  ,064848.0-033617 ,14.3,15.2,0.62292412
V0568 Cas  ,011713.5+745120 ,13.1,14,     0.623       :  
V2466 Sgr  ,175945.7-285220 ,18.1,19,0.623026
AB    CMa  ,070544.1-185124 ,13.5,14.5,0.6231735
V1336 Tau  ,044721.0+280853 ,13,( 0.27   *),0.6232
V0382 Vir  ,121551.7-000555 ,16.6,17.2,0.623402
RV    Cet *,021514.9-104801 ,10.35,11.22,0.623403
CK    Aps  ,164206.4-741302 ,12.4,13.2,0.6235
TX    Vir *,135459.9-060104 ,12.7,14.4,0.623562
LQ    CrA  ,180207.4-385717 ,14.2,15,0.62362
V0522 Cen  ,142927.6-371344 ,12,12.8,0.62364
QQ    Her  ,181244.7+384802 ,13.7,14.6,0.623681
V1984 Oph  ,172244.8-202129 ,16,17.5,0.62375
CW    Her  ,165038.2+352705 ,11.9,13.2,0.6238405
V0418 Lyr *,190833.5+331835 ,14.5,15.9,0.623845
V1023 Oph  ,162147.3-040554 ,12.81,13.6,0.6239306
WZ    Pav  ,175648.5-595353 ,13.1,13.9,0.62399
AR    Aps  ,154418.8-722518 ,13.3,14.4,0.624
RS    Ind *,213649.7-702001 ,9.9,10.2,0.62406531
IM    Tel  ,201745.6-551543 ,14.62,16.25,0.62414
CR    CMa *,071802.1-194058 ,12.1,13.1,0.6241424
VX    Oct  ,185525.8-745411 ,16.3,17,0.6243
EX    Pav  ,194124.3-693850 ,15.4,16.4,0.6243
EH    Com  ,124837.6+181025 ,15.2,16,0.62437
V2305 Sgr  ,181504.0-280035 ,16.2,16.4,0.624388
V2890 Sgr  ,181727.6-354403 ,15.4,16.9,0.62443
V0883 Cep  ,222616.0+740629 ,13.2,13.7,0.62448
HQ    Leo *,105940.4+063731 ,13,13.5,0.6245
V3853 Sgr *,183503.5-235116 ,14.2,15.7,0.6245374
V0744 Cep  ,222405.0+684459 ,12.2,12.54,0.62455
V2292 Sgr  ,181427.9-280631 ,16.1,16.5,0.624573
EN    Lyn  ,084607.0+380253 ,13.4,14,0.6249
GW    Nor  ,162339.0-530649 ,14.4,15.3,0.624999
CZ    Cha *,105317.5-794141 ,14,14.6,0.625
CV    Lup  ,142010.0-443402 ,14.2,15.2,0.62503
V0508 Aql  ,200532.8-004419 ,14.3,15.9,0.6251413
UZ    Tuc  ,001542.2-585301 ,13.3,14.4,0.62536
DY    Pav  ,191527.9-695050 ,16,17,0.6254
V0450 Vir  ,131020.9-004457 ,18.4,19.4,0.625508
RV    CMi  ,072150.6+041440 ,12.7,14.2,0.62551
UX    Cap  ,205403.3-172752 ,13.5,14.5,0.62553
V0796 Sgr  ,194639.9-402723 ,11.6,12.3,0.625566
AI    Dor  ,054229.8-663613 ,14.7,15.8,0.625576
V0700 Ara *,165537.1-565803 ,15.1,15.7,     0.6256      :  
VZ    Ara  ,163729.9-582351 ,13.2,14.8,0.62563
VZ    Boo  ,145315.9+255719 ,14.53,15.6,0.625709
V1132 Cas  ,013345.5+603723 ,8.24,8.3,0.62576
LT    Gem  ,061825.6+233417 ,9.35,9.51,0.6258
V0516 Vir  ,135824.0-002819 ,18.8,19.4,0.625804
V0415 Sco  ,175337.3-370101 ,14.8,15.8,0.62581
V3535 Sgr  ,183301.8-354833 ,15.2,16.6,0.62586
V0482 Ser  ,155211.1-005622 ,12.6,13.9,0.625956
V0373 Tel  ,183016.5-521230 ,13.8,14.8,0.625974
V0414 Her  ,173142.9+223841 ,15.2,15.9,0.626042
V0440 Her  ,174318.1+233024 ,16.1,17,0.6260952
XZ    Hya *,092523.7-221016 ,14.7,15.6,0.6262829
LX    Eri  ,043311.4-015011 ,17.6,18.1,0.626296
V0582 Cen  ,120049.6-361201 ,14.2,15.4,0.62632
SS    Leo *,113354.5-000200 ,10.38,11.56,0.6263441
V3641 Sgr  ,183619.8-325641 ,15.4,16.8,0.62644
BY    Ara  ,164956.3-585313 ,14.7,16.3,0.626463
V3133 Sgr  ,182151.3-360901 ,16.1,16.9,0.62648
FF    Lib  ,155649.6-143722 ,15.3,16.7,0.62649
V1860 Oph *,171926.0-203924 ,14.3,15.5,0.6265
V0701 Sgr  ,181619.1-362932 ,13.1,14.4,0.6265386
V0467 Hya  ,081252.1-014928 ,15.5,16,0.626674
UX    Ind  ,203941.0-542733 ,14.2,15.5,0.6267
AE    Leo  ,112612.2+173940 ,11.6,12.8,0.626723
V0360 Aqr *,232030.7-144757 ,12.3,13,0.6269552
V0490 Cen  ,130352.0-335638 ,13.5,14.8,0.627
V0960 Aql  ,190616.9-084657 ,14.1,15.7,0.627162
V1005 Aql  ,193941.3+113713 ,15.5,16.5,0.627168
AR    CVn  ,134207.2+294556 ,18.9,19.9,0.62722
V0389 Sgr  ,185652.4-350914 ,14.3,15.7,0.6273774
V2682 Oph  ,162614.2-005027 ,15.8,16.5,0.627403
V0702 Her  ,163254.7+243239 ,16.4,17,0.627426
V0658 Ara *,164629.1-613305 ,15.4,16,0.6276
V0400 Ara  ,165309.5-570144 ,15,16,     0.6276      :  
AW    Leo  ,113148.3+165652 ,14.9,16.4,0.627701
SX    Oct  ,231537.9-784849 ,15,16.2,0.62774
V0423 Cas *,014344.5+644951 ,14,14.5,0.627858
OV    Tel  ,184550.2-475555 ,12.9,14.4,0.62789
V0526 Peg  ,222536.8+350745 ,16.55,17.23,0.6278978
V1314 Oph  ,170445.0-182759 ,17,18.4,0.62803
DF    Sct  ,185100.1-080524 ,16.5,17.7,0.62804
VZ    UMi *,132329.0+745409 ,13.1,13.5,0.62808
V0459 Ser  ,153946.7-003746 ,17,17.4,0.628089
AZ    Leo  ,113651.7+212252 ,16.5,17.4,0.628125
V0467 Cam  ,070218.1+720853 ,13.9,14.4,0.6282
V0566 Vir  ,143138.7-012959 ,19.2,19.8,0.628272
BN    CMa *,071038.9-253922 ,14.8,15.8,0.6282793
AV    Sex  ,101935.9-012755 ,16.8,17.3,0.62834
V1845 Oph *,171904.2-183225 ,16.3,17.4,0.628456
V0634 Ara  ,172329.1-673734 ,14.2,15.1,0.6284849
ZZ    Cyg *,202352.9+465514 ,10.61,11.69,0.62861644
LX    Her  ,174318.7+281515 ,13.9,15.1,0.628872
RT    And *,231110.1+530133 ,8.97,9.83,0.6289216
V0396 Sgr  ,190044.8-341522 ,14.4,15.7,0.6289524
V1500 Oph  ,171015.1-213652 ,17.1,18.3,0.62898
V0883 Sgr  ,191743.6-224314 ,14.6,15.4,0.6289945
V2738 Ori  ,053906.0-020731 ,14.92,-0.22,0.629
V0740 CrA *,180746.0-440225 ,14.4,15.9,0.629
V0534 Cen  ,143733.6-393006 ,13.7,14.6,0.62915
V0753 Her  ,170929.5+434523 ,14.3,16.4,0.629158
LO    Cyg *,214403.0+455239 ,13.1,13.7,0.6292321
V1444 Oph  ,170839.1-205245 ,16.5,17.9,0.62928
V0535 Ara *,173805.6-564917 ,7.17,7.75,0.62930098
V0477 Nor  ,161747.1-533534 ,14.9,15.7,0.6294
V0639 Lyr  ,181549.5+321838 ,12.35,12.8,0.62945
EM    Lyn  ,083041.7+402425 ,14.3,15.1,0.62945
V0693 Sgr  ,181514.8-352119 ,14.7,15.7,0.6294847
V0466 Sgr *,185513.9-332819 ,15.1,15.7,0.629525
V0552 CrA  ,181958.3-392010 ,14.9,15.6,0.6296346
CG    Leo  ,114910.4+213652 ,15.7,16.3,0.629652
V1314 Cyg  ,201216.7+405232 ,16.2,16.8,0.6297585
V0462 CrA  ,180041.3-411614 ,15,15.8,0.6297656
V1215 Cen *,111326.2-452343 ,13.8,-0.11,0.63
V0401 CrA  ,181031.6-414145 ,13.8,14.5,0.6300753
V1306 Sgr  ,183011.1-341413 ,14.5,15.4,0.6301093
XZ    Lac *,221858.2+494423 ,12.8,13.9,0.6302
V0788 Aql  ,200848.4-010424 ,13.6,14.1,0.63021
UU    Pav  ,175017.0-600101 ,13.2,14.1,0.63022
V0417 Pav  ,202844.2-644306 ,13.7,14.7,0.630296
AF    Her *,163938.1+410645 ,12.23,13.35,0.63034554
DM    And  ,233200.7+351148 ,12.4,13.2,0.630387
V0798 Sco  ,160407.5-125930 ,15.7,17.4,0.63043
TY    Hyi  ,023303.0-710158 ,13.8,15.2,0.63054
V1818 Oph  ,171825.1-211032 ,17.7,19,0.63058
EF    Gru  ,214317.6-395211 ,13.8,14.4,0.630675
V0424 Her  ,173443.9+175717 ,13.7,14.8,0.6307071
EO    Ser *,162143.8-030757 ,14.7,15.1,0.6307336
V0403 CrA  ,181639.6-435031 ,14,15.4,0.6307521
V0541 Vir  ,141822.3-001506 ,18.8,19.8,0.630789
HT    CrA  ,181316.4-381001 ,15.1,15.8,0.6308
CG    Del  ,202315.1+172926 ,13.8,15.1,0.630923
V0511 Her *,173937.8+195502 ,15.2,15.7,0.6309283
QU    UMa  ,093911.6+611023 ,12.97,13.67,0.63103
V0926 Sgr  ,192720.0-185207 ,14.9,15.9,0.6310852
V2568 Sgr *,183001.4-311351 ,15.6,16.5,0.6310864
V0335 Dra  ,154040.7+604824 ,13.5,14.2,0.63114
CG    Cyg *,205813.5+351030 ,9.73, 10.86 :   ,0.631141
V0462 Sgr  ,185334.7-362257 ,15.2,16.1,0.6311588
V0543 Her  ,163556.2+200023 ,15.1,16.4,0.631222
V1345 Cen  ,142345.7-582925 ,11.3,11.8,0.631275
UV    Men  ,065410.6-825309 ,14,15.1,0.631305
V0336 Del  ,210047.5+145246 ,12.25,12.48,0.631308
SX    Dor *,050332.1-654258 ,13.5,14.9,0.631486
IN    Ara *,180740.2-543629 ,12.32,13.6,0.631489
UV    CVn *,140049.3+281951 ,13.4,14.9,0.631598
V0944 Cyg *,194137.9+312323 ,14.9,15.8,0.6317415
V0629 Cas  ,233601.0+523757 ,9,-0.074,0.63195
V3630 Sgr  ,183557.1-341604 ,16.4,17.7,0.63198
DO    Ara  ,172003.8-584458 ,14.4,15.3,0.63201
DW    Hya  ,115629.7-334125 ,14.1,15.1,0.63209
EO    Com *,125722.0+285319 ,14.7,15.5,0.63209
CN    Peg  ,214322.8+265150 ,13.8,15.2,0.63214
V1242 Oph  ,170210.3-212847 ,16.5,18.1,0.63216
RU    Eri *,035443.8-145607 ,9.35,10.07,0.63219951
CF    Aqr *,205357.5-134723 ,14.37,15.93,0.6323816
V1874 Oph  ,171950.1-182113 ,16,17.3,0.63247
RS    Ret  ,033506.4-643631 ,14.4,15.6,0.63252
ER    Ara *,172752.0-620354 ,13.4,14.5,0.6326
V1798 Oph  ,171749.8-171116 ,14.6,16.2,0.63275
BI    Sge  ,200322.8+183900 ,13.8,15,0.632805
BF    Lib  ,152452.8-284320 ,13.5,14.5,0.63293
V2421 Cyg *,201438.6+415614 ,13.79,15.03,0.6331
V0502 Vir  ,135007.5-005638 ,18.4,19.1,0.633181
V0367 Sgr *,184203.2-322929 ,14.2,15,0.63324
UV    Dor *,054757.4-641829 ,14.6,16.2,0.633278
V1955 Oph  ,172146.4-180431 ,15.2,16.6,0.63347
AU    Sco *,163411.6-263652 ,13.5,14.5,0.6336878
V1283 Sgr  ,181347.4-293140 ,13.8,14.5,0.6337
V0370 Her  ,171233.0+203224 ,14.8,15.9,0.633718
DN    Aqr *,231917.2-241259 ,10.73,11.51,0.63376
AE    Vir  ,142729.3+034641 ,11.5,13.9,0.6338581
V0514 Her  ,174056.9+240256 ,13.6,15.1,0.6339664
BU    Aps  ,162911.6-810659 ,14.5,15.3,0.634
V0700 Sgr  ,181617.6-365626 ,14.5,16.3,0.6341854
V0398 Dra  ,180711.0+531545 ,12.68,13.65,0.6341858
CT    Eri *,042924.8-333434 ,10,10.52,0.634195498
V0372 Her  ,171316.9+205731 ,15.6,17.1,0.6343068
V0421 Sgr  ,191336.6-265326 ,14.2,15.4,0.6343265
V0530 Hya  ,092907.3+012725 ,11.55,12.06,0.634348
V0504 Vir  ,135156.2-005314 ,18.6,19.5,0.634348
FO    Lyn  ,083726.4+424024 ,11.11,11.58,0.634457
V0778 Sco  ,160540.0-123601 ,16.7,17.6,0.6345
AR    Ind *,203119.3-552259 ,13.9,14.4,0.6346
GG    Pav  ,195913.1-740804 ,14.4,15.3,0.6346
V1202 Sgr  ,183922.6-314505 ,14.7,15.9,0.634686
V0383 Mon *,070437.9-015546 ,14.7,15.4,0.6346881
V0396 Ara  ,165240.2-595138 ,14.3,15.6,0.6347
PV    Lib  ,152119.1-131244 ,12.9,14.1,0.634778
HW    Per *,035846.1+444406 ,13,13.7,0.634828
V0420 Ara  ,165849.0-590127 ,14.8,15.9,0.6349
IZ    Lyr  ,182942.1+394512 ,13.7,14.6,0.634963
YY    Tuc *,231100.6-582007 ,11.32,12.44,0.635021
V3489 Sgr  ,183111.9-314114 ,14.8,16.4,0.63505
V1779 Oph  ,171721.8-181546 ,15.8,16.7,0.63507
V2697 Oph  ,164444.2+030934 ,12.05,13.2,0.635183
V2772 Oph  ,180650.9+100536 ,13.84,14.35,0.63523
GQ    Aps *,153619.1-781347 ,14.5,15,0.6353
DS    Com *,124223.8+255147 ,16.9,17.6,0.635389
V0956 Mon  ,080827.8-004826 ,16.7,17.2,0.635401
V0551 Sco  ,175121.8-425854 ,15.7,16.5,0.63545
BC    Leo  ,113836.0+204334 ,15.9,17.1,0.635627
V1141 Sgr  ,192425.6-151240 ,14.9,15.7,0.6357017
IT    Nor *,161709.2-445918 ,9.4,10,0.63579
IV    Leo  ,105812.6-000540 ,15.4,15.8,0.635792
V1201 Her  ,163541.3+282448 ,14.4,15.9,0.63582
BQ    Vir *,123627.3-022533 ,12.1,12.7,0.6359125
PX    Tel *,181823.8-521241 ,14.7,15.3,0.636
DZ    Sct  ,185719.8-063520 ,16,16.8,0.636
V0491 Vir  ,134326.8-004013 ,16.4,17.3,0.63612
V0907 Cep  ,224543.4+732159 ,12.35,12.9,0.63622
RX    Equ  ,211459.9+111017 ,14.4,16.1,0.636274
V0580 Vir  ,143700.9-004422 ,18.6,19.5,0.63635
GO    Hya  ,085453.5+062613 ,11.6,12.2,0.636437
V0384 Sge  ,202018.6+211845 ,15.2,-0.8,0.63649
V0403 Sgr *,190252.8-342834 ,14.1,15.5,0.6364985
FY    Hya *,135335.4-293449 ,11.89,13.03,0.636651
V0407 Peg *,233655.4+154806 ,9.28,9.75,0.636889
ES    Pav  ,193149.0-572037 ,13.7,14.3,0.6369068
WY    CVn *,134047.6+283326 ,15.5,16.3,0.6369126
V0452 Ser  ,153439.2-002615 ,18.9,20.2,0.636913
NO    Lib  ,145922.8-021442 ,17.9,18.8,0.637147
FV    Aqr *,221203.0-084546 ,13.2,14.5,0.6372034
V1507 Oph  ,171016.4-182252 ,15.4,16.4,0.63721
V0711 Her  ,164833.5+233503 ,14.7,15.3,0.637285
VX    Scl  ,013523.7-350743 ,11.55,12.32,0.637334
CN    Lac *,220608.5+461835 ,12.4,12.9,0.6373744
V0390 Dra  ,175758.9+550608 ,11.2,( 0.11   *),0.6374
V1750 Aql  ,190727.9+041509 ,14.92,15,0.6374
V1332 Oph *,170510.6-193444 ,14.3,15.3,0.63748
V0393 Sgr  ,190000.4-335545 ,14.2,15.6,0.6376046
V0406 Sgr  ,190418.0-311113 ,14.7,15.8,0.637673
V0868 Mon  ,073904.8-023906 ,8.9,9.5,0.63772
V0535 Hya  ,093657.7-133712 ,13.76,15.15,0.63779
V1791 Oph  ,171747.0-202529 ,16.6,18.2,0.63779
V1204 Her  ,163737.3+064812 ,13.5,14.5,0.63782
V0597 CrA  ,182637.4-381108 ,14.8,15.5,0.6379719
V0785 Sco  ,160856.9-144815 ,15.8,16.9,0.63799
GW    Sge  ,200659.3+205211 ,15,16.5,0.6380384
V0375 Vir  ,120910.4-004759 ,17,17.8,0.638168
V1588 Oph  ,171228.8-200901 ,16.2,17.6,0.6382
V1119 Oph  ,160846.3-055239 ,14.5,15.4,0.6382173
BW    Eri *,040636.8-274008 ,9.5,10.12,0.6384773
AX    CrA  ,184942.2-405246 ,14.4,15.6,0.6384869
RW    Cha *,103238.6-805040 ,14,14.6,0.6385
V1532 Sgr  ,180437.1-300125 ,17.3,18.4,0.63862
V0419 Nor *,155145.1-563407 ,16.09,16.53,0.6388
KO    Pav  ,204540.0-711442 ,15.2,16.4,0.6389
AF    Vol  ,085334.9-702808 ,10.6,11.05,0.63894
V1093 Sgr  ,190941.0-193801 ,13.1,14.4,0.6389498
V2786 Sgr  ,181526.9-340001 ,15.5,16.5,     0.63902     :  
V0376 Ara  ,164613.2-572329 ,15.3,16,0.6391
HK    Her  ,164509.3+361849 ,14.6,15.6,0.639194
V3138 Sgr  ,182158.7-363950 ,15.5,17.4,0.63928
V1644 Sgr *,200914.9-293322 ,11.6,12.4,0.63928
V1188 Her  ,162929.9+042917 ,12.9,14,0.63935
V2840 Sgr  ,181624.4-331548 ,15.3,17.4,0.63942
AO    Mic  ,211213.9-440132 ,14.4,15.6,0.639462
V0355 Dra  ,165459.7+544231 ,13.93,14.88,0.63979
AH    Ind  ,205949.7-591607 ,13.1,14,0.6398
WX    Ind  ,204432.1-461630 ,13.1,14.1,     0.64        :  
NX    Sct  ,185422.1-101201 ,15.6,17.3,0.64
lam   Col  ,055306.9-334805 ,4.85,4.92,0.64
V0489 Ara *,171042.5-560344 ,12.1,13,0.640075
BX    Tuc  ,003142.5-714917 ,17.9,18.9,0.64009
